date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:33	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
11:26:34	20527/20527	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:11:53%20GMT	https://colorlib.com/preview/theme/fashi/	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/index.html	(from )
11:26:34	159515/159515	---MCZ	200	added ('OK')	text/css	etag:W/%225e074698-26f1b%22	https://colorlib.com/preview/theme/fashi/css/bootstrap.min.css	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/css/bootstrap.min.css	(from https://colorlib.com/preview/theme/fashi/)
11:26:34	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225e074699-7918%22	https://colorlib.com/preview/theme/fashi/css/font-awesome.min.css	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/css/font-awesome.min.css	(from https://colorlib.com/preview/theme/fashi/)
11:26:34	13862/13862	---MCZ	200	added ('OK')	text/css	etag:W/%225e07469f-4042%22	https://colorlib.com/preview/theme/fashi/css/themify-icons.css	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/css/themify-icons.css	(from https://colorlib.com/preview/theme/fashi/)
11:26:35	21759/21759	---MCZ	200	added ('OK')	text/css	etag:W/%225e074698-62a4%22	https://colorlib.com/preview/theme/fashi/css/elegant-icons.css	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/css/elegant-icons.css	(from https://colorlib.com/preview/theme/fashi/)
11:26:35	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225e07469c-d17%22	https://colorlib.com/preview/theme/fashi/css/owl.carousel.min.css	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/css/owl.carousel.min.css	(from https://colorlib.com/preview/theme/fashi/)
11:26:35	3076/3076	---MCZ	200	added ('OK')	text/css	etag:W/%225e07469d-fa7%22	https://colorlib.com/preview/theme/fashi/css/nice-select.css	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/css/nice-select.css	(from https://colorlib.com/preview/theme/fashi/)
11:26:35	32076/32076	---MCZ	200	added ('OK')	text/css	etag:W/%225e074699-7d4c%22	https://colorlib.com/preview/theme/fashi/css/jquery-ui.min.css	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/css/jquery-ui.min.css	(from https://colorlib.com/preview/theme/fashi/)
11:26:36	2505/2505	---MCZ	200	added ('OK')	text/css	etag:W/%225e07469e-9c9%22	https://colorlib.com/preview/theme/fashi/css/slicknav.min.css	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/css/slicknav.min.css	(from https://colorlib.com/preview/theme/fashi/)
11:26:36	62692/62692	---MCZ	200	added ('OK')	text/css	etag:W/%225e0746a2-128c6%22	https://colorlib.com/preview/theme/fashi/css/style.css	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/css/style.css	(from https://colorlib.com/preview/theme/fashi/)
11:26:36	20527/20527	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:11:53%20GMT	https://colorlib.com/preview/theme/fashi/index.html	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/index-2.html	(from https://colorlib.com/preview/theme/fashi/)
11:26:36	485/485	---M--	200	added ('OK')	image/png	etag:%225e0746d1-647%22	https://colorlib.com/preview/theme/fashi/img/logo.png	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/img/logo.png	(from https://colorlib.com/preview/theme/fashi/)
11:26:37	1328/1328	---M--	200	added ('OK')	image/jpeg	etag:%225e0746d3-b29%22	https://colorlib.com/preview/theme/fashi/img/select-product-1.jpg	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/img/select-product-1.jpg	(from https://colorlib.com/preview/theme/fashi/)
11:26:37	1414/1414	---M--	200	added ('OK')	image/jpeg	etag:%225e0746d4-cdc%22	https://colorlib.com/preview/theme/fashi/img/select-product-2.jpg	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/img/select-product-2.jpg	(from https://colorlib.com/preview/theme/fashi/)
11:26:37	18959/18959	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:11:59%20GMT	https://colorlib.com/preview/theme/fashi/shop.html	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/shop.html	(from https://colorlib.com/preview/theme/fashi/)
11:26:38	13604/13604	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:11:49%20GMT	https://colorlib.com/preview/theme/fashi/blog.html	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/blog.html	(from https://colorlib.com/preview/theme/fashi/)
11:26:38	11863/11863	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:11:51%20GMT	https://colorlib.com/preview/theme/fashi/contact.html	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/contact.html	(from https://colorlib.com/preview/theme/fashi/)
11:26:38	13443/13443	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:11:47%20GMT	https://colorlib.com/preview/theme/fashi/blog-details.html	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/blog-details.html	(from https://colorlib.com/preview/theme/fashi/)
11:26:38	12049/12049	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:12:01%20GMT	https://colorlib.com/preview/theme/fashi/shopping-cart.html	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/shopping-cart.html	(from https://colorlib.com/preview/theme/fashi/)
11:26:39	12369/12369	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:11:49%20GMT	https://colorlib.com/preview/theme/fashi/check-out.html	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/check-out.html	(from https://colorlib.com/preview/theme/fashi/)
11:26:39	11723/11723	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:11:51%20GMT	https://colorlib.com/preview/theme/fashi/faq.html	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/faq.html	(from https://colorlib.com/preview/theme/fashi/)
11:26:39	10471/10471	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:11:59%20GMT	https://colorlib.com/preview/theme/fashi/register.html	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/register.html	(from https://colorlib.com/preview/theme/fashi/)
11:26:39	10604/10604	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202019%2012:11:55%20GMT	https://colorlib.com/preview/theme/fashi/login.html	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/login.html	(from https://colorlib.com/preview/theme/fashi/)
11:26:40	112663/112663	---M--	200	added ('OK')	image/jpeg	etag:%225e0746c4-26c05%22	https://colorlib.com/preview/theme/fashi/img/hero-1.jpg	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/img/hero-1.jpg	(from https://colorlib.com/preview/theme/fashi/)
11:26:40	50316/50316	---M--	200	added ('OK')	image/jpeg	etag:%225e0746c5-d63f%22	https://colorlib.com/preview/theme/fashi/img/hero-2.jpg	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/img/hero-2.jpg	(from https://colorlib.com/preview/theme/fashi/)
11:26:40	22385/22385	---M--	200	added ('OK')	image/jpeg	etag:%225e0746c0-7447%22	https://colorlib.com/preview/theme/fashi/img/banner-1.jpg	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/img/banner-1.jpg	(from https://colorlib.com/preview/theme/fashi/)
11:26:40	29604/29604	---M--	200	added ('OK')	image/jpeg	etag:%225e0746c0-90e5%22	https://colorlib.com/preview/theme/fashi/img/banner-2.jpg	C:/Users/hp/Desktop/projet/salma/colorlib.com/preview/theme/fashi/img/banner-2.jpg	(from https://colorlib.com/preview/theme/fashi/)
